Episode,Event,X_Pos
512,death,297
513,death,1140
514,death,312
515,death,674
516,death,661
517,death,305
518,death,695
519,death,898
520,death,304
521,death,678
522,death,690
523,death,692
524,death,305
525,death,292
526,death,723
527,death,672
528,death,829
529,death,270
530,death,682
531,death,1525
532,death,668
533,death,301
534,death,691
535,death,291
536,death,1434
537,death,278
538,death,1137
539,death,1151
540,death,1133
541,death,699
542,death,298
543,death,686
544,death,1524
545,death,312
546,death,308
547,death,291
548,death,1127
549,death,691
550,death,290
551,death,292
552,death,295
553,death,722
554,death,1135
555,death,301
556,death,709
557,death,299
558,death,691
559,death,295
560,death,1670
561,death,701
562,death,702
563,death,301
564,death,310
565,death,300
566,death,681
567,death,1129
568,death,675
569,death,296
570,death,1126
571,death,300
572,death,865
573,death,691
574,death,899
575,death,312
576,death,695
577,death,722
578,death,306
579,death,687
580,death,293
581,death,1129
582,death,291
583,death,1129
584,death,308
585,death,282
586,death,1422
587,death,723
588,death,686
589,death,1123
590,death,723
591,death,1127
592,death,663
593,death,681
594,death,1411
595,death,697
596,death,722
597,death,832
598,death,723
599,death,1404
600,death,290
601,death,309
602,death,1790
603,death,1138
604,death,704
605,death,299
606,death,282
607,death,275
608,death,316
609,death,307
610,death,1130
611,death,697
612,death,280
613,death,671
614,death,853
615,death,1426
616,death,1241
617,death,1129
618,death,702
619,death,669
620,death,898
621,death,293
622,death,299
623,death,312
624,death,309
625,death,693
626,death,1232
627,death,1520
628,death,723
629,death,1152
630,death,712
631,death,1419
632,death,663
633,death,287
634,death,685
635,death,288
636,death,305
637,death,285
638,death,310
639,death,272
640,death,706
641,death,687
642,death,275
643,death,692
644,death,695
645,death,696
646,death,900
647,death,1410
648,death,1139
649,death,302
650,death,298
651,death,312
652,death,288
653,death,304
654,death,312
655,death,696
656,death,692
657,death,680
658,death,683
659,death,294
660,death,708
661,death,1402
662,death,310
663,death,899
664,death,266
665,death,674
666,death,297
667,death,702
668,death,310
669,death,1122
670,death,313
671,death,682
672,death,703
673,death,688
674,death,303
675,death,1238
676,death,685
677,death,299
678,death,1125
679,death,314
680,death,1232
681,death,854
682,death,684
683,death,683
684,death,699
685,death,285
686,death,1138
687,death,292
688,death,310
689,death,283
690,death,302
691,death,1667
692,death,269
693,death,1666
694,death,691
695,death,660
696,death,1652
697,death,295
698,death,867
699,death,245
700,death,246
701,death,311
702,death,899
703,death,302
704,death,296
705,death,309
706,death,702
707,death,1131
708,death,700
709,death,704
710,death,309
711,death,278
712,death,314
713,death,300
714,death,1512
715,death,288
716,death,1410
717,death,694
718,death,294
719,death,311
720,death,694
721,death,678
722,death,314
723,death,828
724,death,899
725,death,1434
726,death,1233
727,death,312
728,death,308
729,death,1784
730,death,684
731,death,724
732,death,308
733,death,708
734,death,304
735,death,281
736,death,869
737,death,314
738,death,1408
739,death,293
740,death,696
741,death,292
742,death,701
743,death,282
744,death,267
745,death,295
746,death,292
747,death,690
748,death,311
749,death,302
750,death,816
751,death,683
752,death,308
753,death,305
754,death,314
755,death,723
756,death,702
757,death,687
758,death,1414
759,death,693
760,death,725
761,death,302
762,death,1127
763,death,723
764,death,851
765,death,689
766,death,694
767,death,286
768,death,898
769,death,297
770,death,256
771,death,703
772,death,1403
773,death,723
774,death,297
775,death,309
776,death,293
777,death,695
778,death,1129
779,death,680
780,death,268
781,death,299
782,death,1412
783,death,709
784,death,1138
785,death,314
786,death,306
787,death,294
788,death,1125
789,death,309
790,death,245
791,death,302
792,death,1127
793,death,293
794,death,307
795,death,723
796,death,1516
797,death,1215
798,death,312
799,death,1124
800,death,1123
801,death,297
802,death,812
803,death,277
804,death,674
805,death,1131
806,death,305
807,death,302
808,death,1147
809,death,297
810,death,282
811,death,1495
812,death,723
813,death,697
814,death,301
815,death,832
816,death,1229
817,death,288
818,death,280
819,death,847
820,death,1138
821,death,703
822,death,707
823,death,1518
824,death,272
825,death,900
826,death,810
827,death,1129
828,death,704
829,death,680
830,death,295
831,death,296
832,death,705
833,death,1123
834,death,264
835,death,289
836,death,1135
837,death,1413
838,death,304
839,death,275
840,death,306
841,death,1236
842,death,1134
843,death,1433
844,death,692
845,death,283
846,death,697
847,death,302
848,death,1126
849,death,899
850,death,723
851,death,705
852,death,295
853,death,293
854,death,293
855,death,689
856,death,703
857,death,1421
858,death,1783
859,death,725
860,death,1127
861,death,281
862,death,289
863,death,1233
864,death,1424
865,death,288
866,death,1228
867,death,1409
868,death,1436
869,death,313
870,death,1507
871,death,309
872,death,1149
873,death,306
874,death,311
875,death,701
876,death,680
877,death,266
878,death,308
879,death,268
880,death,899
881,death,310
882,death,1424
883,death,1134
884,death,844
885,death,1122
886,death,302
887,death,723
888,death,1667
889,death,722
890,death,1122
891,death,292
892,death,314
893,death,305
894,death,274
895,death,290
896,death,692
897,death,1129
898,death,306
899,death,702
900,death,308
901,death,291
902,death,699
903,death,898
904,death,301
905,death,281
906,death,846
907,death,303
908,death,688
909,death,1519
910,death,851
911,death,1124
912,death,675
913,death,682
914,death,703
915,death,1415
916,death,1124
917,death,698
918,death,839
919,death,706
920,death,296
921,death,1128
922,death,303
923,death,694
924,death,815
925,death,1411
926,death,1422
927,death,293
928,death,295
929,death,1124
930,death,724
931,death,714
932,death,1226
933,death,696
934,death,797
935,death,290
936,death,706
937,death,301
938,death,1415
939,death,693
940,death,864
941,death,306
942,death,808
943,death,1438
944,death,1126
945,death,303
946,death,308
947,death,697
948,death,312
949,death,688
950,death,1407
951,death,267
952,death,709
953,death,1138
954,death,723
955,death,301
956,death,667
957,death,1501
958,death,711
959,death,302
960,death,694
961,death,274
962,death,279
963,death,691
964,death,305
965,death,807
966,death,704
967,death,691
968,death,659
969,death,262
970,death,308
971,death,1127
972,death,298
973,death,845
974,death,306
975,death,262
976,death,1129
977,death,291
978,death,658
979,death,870
980,death,292
981,death,702
982,death,791
983,death,299
984,death,673
985,death,1128
986,death,296
987,death,1125
988,death,268
989,death,697
990,death,286
991,death,1137
992,death,304
993,death,310
994,death,277
995,death,722
996,death,900
997,death,899
998,death,723
999,death,723
1000,death,303
1001,death,1126
1002,death,723
1003,death,298
1004,death,293
1005,death,309
1006,death,694
1007,death,290
1008,death,1132
1009,death,723
1010,death,685
1011,death,678
1012,death,283
1013,death,696
1014,death,671
1015,death,305
1016,death,837
1017,death,1222
1018,death,1789
1019,death,691
1020,death,722
1021,death,1432
1022,death,703
1023,death,676
1024,death,862
1025,death,304
1026,death,1136
1027,death,1129
1028,death,1124
1029,death,696
1030,death,704
1031,death,713
1032,death,698
1033,death,298
1034,death,1421
1035,death,1127
1036,death,825
1037,death,304
1038,death,1125
1039,death,303
1040,death,673
1041,death,710
1042,death,307
1043,death,308
1044,death,701
1045,death,1412
1046,death,1519
1047,death,670
1048,death,691
1049,death,277
1050,death,280
1051,death,290
1052,death,723
1053,death,898
1054,death,288
1055,death,306
1056,death,1125
1057,death,293
1058,death,302
1059,death,830
1060,death,1128
1061,death,298
1062,death,674
1063,death,295
1064,death,812
1065,death,307
1066,death,1410
1067,death,722
1068,death,701
1069,death,1236
1070,death,285
1071,death,1261
1072,death,282
1073,death,685
1074,death,832
1075,death,303
1076,death,294
1077,death,679
1078,death,673
1079,death,270
1080,death,685
1081,death,686
1082,death,261
1083,death,274
1084,death,723
1085,death,1126
1086,death,310
1087,death,690
1088,death,1514
1089,death,1123
1090,death,1136
1091,death,301
1092,death,700
1093,death,1129
1094,death,306
1095,death,1140
1096,death,1124
1097,death,680
1098,death,811
1099,death,1123
1100,death,705
1101,death,1136
1102,death,685
1103,death,1127
1104,death,667
1105,death,285
1106,death,697
1107,death,287
1108,death,708
1109,death,1225
1110,death,313
1111,death,310
1112,death,273
1113,death,711
1114,death,297
1115,death,689
1116,death,689
1117,death,705
1118,death,308
1119,death,685
1120,death,310
1121,death,1123
1122,death,1139
1123,death,690
1124,death,308
1125,death,312
1126,death,1780
1127,death,290
1128,death,663
1129,death,708
1130,death,833
1131,death,672
1132,death,899
1133,death,298
1134,death,794
1135,death,723
1136,death,1236
1137,death,693
1138,death,697
1139,death,1127
1140,death,695
1141,death,694
1142,death,1407
1143,death,899
1144,death,287
1145,death,683
1146,death,269
1147,death,296
1148,death,280
1149,death,1412
1150,death,283
1151,death,295
1152,death,693
1153,death,297
1154,death,293
1155,death,308
1156,death,707
1157,death,700
1158,death,312
1159,death,710
1160,death,308
1161,death,1128
1162,death,1126
1163,death,688
1164,death,691
1165,death,670
1166,death,702
1167,death,1397
1168,death,309
1169,death,298
1170,death,681
1171,death,296
1172,death,842
1173,death,691
1174,death,1126
1175,death,306
1176,death,702
1177,death,301
1178,death,269
1179,death,306
1180,death,303
1181,death,722
1182,death,698
1183,death,724
1184,death,668
1185,death,689
1186,death,295
1187,death,841
1188,death,313
1189,death,694
1190,death,311
1191,death,1130
1192,death,1518
1193,death,708
1194,death,838
1195,death,711
1196,death,309
1197,death,307
1198,death,295
1199,death,899
1200,death,281
1201,death,678
1202,death,702
1203,death,689
1204,death,681
1205,death,1128
1206,death,306
1207,death,706
1208,death,298
1209,death,1128
1210,death,295
1211,death,722
1212,death,299
1213,death,1417
1214,death,691
1215,death,295
1216,death,313
1217,death,288
1218,death,832
1219,death,689
1220,death,684
1221,death,1128
1222,death,275
1223,death,296
1224,death,312
1225,death,282
1226,death,307
1227,death,271
1228,death,681
1229,death,677
1230,death,677
1231,death,307
1232,death,850
1233,death,296
1234,death,686
1235,death,710
1236,death,280
1237,death,899
1238,death,1410
1239,death,843
1240,death,301
1241,death,298
1242,death,1124
1243,death,703
1244,death,265
1245,death,297
1246,death,686
1247,death,303
1248,death,838
1249,death,691
1250,death,859
1251,death,291
1252,death,1416
1253,death,302
1254,death,1233
1255,death,316
1256,death,312
1257,death,1137
1258,death,713
1259,death,307
1260,death,1418
1261,death,306
1262,death,1431
1263,death,274
1264,death,1138
1265,death,298
1266,death,851
1267,death,315
1268,death,703
1269,death,705
1270,death,296
1271,death,834
1272,death,290
1273,death,1128
1274,death,1414
1275,death,689
1276,death,288
1277,death,701
1278,death,707
1279,death,688
1280,death,288
1281,death,689
1282,death,1435
1283,death,695
1284,death,297
1285,death,680
1286,death,1426
1287,death,696
1288,death,900
1289,death,299
1290,death,1519
1291,death,1138
1292,death,694
1293,death,1440
1294,death,311
1295,death,1408
1296,death,1125
1297,death,1420
1298,death,1125
1299,death,277
1300,death,1439
1301,death,793
1302,death,290
1303,death,300
1304,death,1127
1305,death,703
1306,death,307
1307,death,842
1308,death,693
1309,death,678
1310,death,289
1311,death,302
1312,death,709
1313,death,309
1314,death,302
1315,death,299
1316,death,307
1317,death,821
1318,death,683
1319,death,289
1320,death,1521
1321,death,1442
1322,death,303
1323,death,1124
1324,death,248
1325,death,700
1326,death,1426
1327,death,276
1328,death,275
1329,death,1431
1330,death,276
1331,death,283
1332,death,310
1333,death,279
1334,death,663
1335,death,284
1336,death,1125
1337,death,1230
1338,death,700
1339,death,292
1340,death,900
1341,death,1781
1342,death,1238
1343,death,293
1344,death,898
1345,death,277
1346,death,1138
1347,death,304
1348,death,306
1349,death,1527
1350,death,681
1351,death,302
1352,death,1408
1353,death,1498
1354,death,285
1355,death,815
1356,death,899
1357,death,690
1358,death,290
