Episode,Event,X_Pos
0,death,300
1,death,695
2,death,703
3,death,663
4,death,1503
5,death,899
6,death,686
7,death,296
8,death,297
9,death,274
10,death,851
11,death,1128
12,death,683
13,death,1134
14,finished,3161
15,death,1124
16,death,311
17,death,1224
18,death,850
19,death,303
20,death,679
21,death,295
22,death,313
23,death,288
24,death,883
25,death,832
26,death,693
27,death,695
28,death,689
29,death,283
30,death,1135
31,death,692
32,death,1125
33,death,312
34,death,1128
35,death,308
36,death,1124
37,death,294
38,death,308
39,death,309
40,death,853
41,death,834
42,death,705
43,death,301
44,death,1410
45,death,1420
46,death,724
47,death,270
48,death,303
49,death,1139
50,death,685
51,death,276
52,death,307
53,death,1128
54,death,899
55,death,305
56,death,1129
57,death,900
58,death,899
59,death,308
60,death,299
61,death,830
62,death,310
63,death,695
64,death,292
65,death,722
66,death,724
67,death,310
68,death,310
69,death,862
70,death,709
71,death,1134
72,death,1129
73,death,278
74,death,1122
75,death,1127
76,death,311
77,death,703
78,death,1428
79,death,310
80,death,1521
81,death,710
82,death,293
83,death,693
84,death,1152
85,death,1438
86,death,1129
87,death,653
88,death,308
89,death,705
90,death,899
91,death,304
92,death,698
93,death,696
94,death,709
95,death,696
96,death,678
97,death,1137
98,death,710
99,death,707
100,death,292
101,death,696
102,death,1434
103,death,830
104,death,695
105,death,709
106,death,824
107,death,859
108,death,681
109,death,1417
110,death,294
111,death,672
112,death,312
113,death,301
114,death,313
115,death,704
116,death,689
117,death,295
118,death,701
119,death,698
120,death,1129
121,death,303
122,death,1127
123,death,1132
124,death,1128
125,death,898
126,death,1134
127,death,309
128,death,677
129,death,679
130,death,1408
131,death,303
132,death,722
133,death,825
134,death,723
135,death,809
136,death,899
137,death,284
138,death,723
139,death,299
140,death,899
141,death,678
142,death,309
143,death,1136
144,death,1134
145,death,1122
146,death,303
147,death,287
148,death,898
149,death,668
150,death,704
151,death,1136
152,death,285
153,death,309
154,death,694
155,death,822
156,death,691
157,death,694
158,death,680
159,death,306
160,death,702
161,death,1218
162,death,1137
163,death,1521
164,death,898
165,death,1434
166,death,311
167,death,706
168,death,706
169,death,1421
170,death,1135
171,death,670
172,death,708
173,death,678
174,death,826
175,death,1411
176,death,257
177,death,306
178,death,842
179,death,899
180,death,1436
181,death,1402
182,death,1138
183,death,679
184,death,290
185,death,698
186,death,1524
187,death,291
188,death,1147
189,death,704
190,death,684
191,death,301
192,death,700
193,death,1128
194,death,283
195,death,899
196,death,867
197,death,288
198,death,284
199,death,1437
200,death,689
201,death,1126
202,death,1510
203,death,1123
204,death,724
205,death,308
206,death,722
207,death,679
208,death,899
209,death,685
210,death,681
211,death,682
212,death,308
213,death,698
214,death,1124
215,death,296
216,death,308
217,death,685
218,death,314
219,death,702
220,death,722
221,death,708
222,death,303
223,death,858
224,death,1437
225,death,679
226,death,301
227,death,723
228,death,283
229,death,284
230,death,1415
231,death,301
232,death,683
233,death,295
234,death,1137
235,death,692
236,death,261
237,death,1120
238,death,290
239,death,282
240,death,898
241,death,702
242,death,690
243,death,1137
244,death,315
245,death,702
246,death,1122
247,death,684
248,death,1408
249,death,1124
250,death,707
251,death,686
252,death,698
253,death,296
254,death,833
255,death,693
256,death,898
257,death,820
258,death,723
259,death,289
260,death,1135
261,death,282
262,death,819
263,death,1128
264,death,1127
265,death,309
266,death,1132
267,death,704
268,death,1129
269,death,859
270,death,311
271,death,846
272,death,269
273,death,289
274,death,280
275,death,283
276,death,898
277,death,842
278,death,301
279,death,797
280,death,309
281,death,818
282,death,293
283,death,1427
284,death,899
285,death,668
286,death,1128
287,death,1138
288,death,302
289,death,682
290,death,1405
291,death,680
292,death,313
293,death,1132
294,death,855
295,death,306
296,death,309
297,death,682
298,death,1123
299,death,694
300,death,900
301,death,311
302,death,1132
303,death,294
304,death,311
305,death,305
306,death,811
307,death,297
308,death,310
309,death,692
310,death,292
311,death,309
312,death,282
313,death,302
314,death,670
315,death,250
316,death,296
317,death,1129
318,death,1433
319,death,823
320,death,723
321,death,287
322,death,723
323,death,306
324,death,1788
325,death,695
326,death,689
327,death,1130
328,death,284
329,death,311
330,death,269
331,death,681
332,death,704
333,death,722
334,death,1431
335,death,708
336,death,686
337,death,859
338,death,899
339,death,280
340,death,692
341,death,1130
342,death,307
343,death,698
344,death,680
345,death,313
346,death,1124
347,death,298
348,death,691
349,death,868
350,death,704
351,death,796
352,death,863
353,death,290
354,death,300
355,death,682
356,death,1435
357,death,850
358,death,1422
359,death,298
360,death,676
361,death,293
362,death,693
363,death,833
364,death,292
365,death,685
366,death,311
367,death,1128
368,death,1640
369,death,690
370,death,286
371,death,300
372,death,1410
373,death,682
374,death,1137
375,death,298
376,death,705
377,death,802
378,death,293
379,death,690
380,death,815
381,death,899
382,death,314
383,death,300
384,death,1408
385,death,675
386,death,690
387,death,680
388,death,1124
389,death,698
390,death,724
391,death,692
392,death,841
393,death,298
394,death,1129
395,death,314
396,death,280
397,death,306
398,death,305
399,death,305
400,death,1414
401,death,313
402,death,724
403,death,709
404,death,294
405,death,691
406,death,1127
407,death,685
408,death,313
409,death,708
410,death,802
411,death,686
