Episode,Event,X_Pos
514,death,302
515,death,898
516,death,665
517,death,305
518,death,250
519,death,298
520,death,312
521,death,305
522,death,263
523,death,676
524,death,293
525,death,264
526,death,305
527,death,703
528,death,684
529,death,841
530,death,311
531,death,301
532,death,692
533,death,1128
534,death,688
535,death,304
536,death,1133
537,death,688
538,death,1127
539,death,698
540,death,1136
541,death,722
542,death,699
543,death,275
544,death,288
545,death,691
546,death,279
547,death,899
548,death,685
549,death,701
550,death,1425
551,death,290
552,death,696
553,death,710
554,death,842
555,death,696
556,death,708
557,death,1414
558,death,313
559,death,808
560,death,693
561,death,816
562,death,722
563,death,709
564,death,1137
565,death,294
566,death,314
567,death,299
568,death,700
569,death,704
570,death,691
571,death,305
572,death,671
573,death,691
574,death,1130
575,death,1801
576,death,1436
577,death,1418
578,death,299
579,death,1239
580,death,1433
581,death,696
582,death,812
583,death,291
584,death,1514
585,death,293
586,death,684
587,death,295
588,death,1125
589,death,301
590,death,1655
591,death,899
592,death,1129
593,death,708
594,death,293
595,death,294
596,death,266
597,death,1138
598,death,696
599,death,689
600,death,278
601,death,842
602,death,704
603,death,709
604,death,307
605,death,830
606,death,1654
607,death,899
608,death,1506
609,death,307
610,death,710
611,death,682
612,death,1129
613,death,298
614,death,306
615,death,306
616,death,309
617,death,707
618,death,1136
619,death,1127
620,death,723
621,death,315
622,death,679
623,death,810
624,death,692
625,death,823
626,death,841
627,death,276
628,death,1673
629,death,297
630,death,663
631,death,1411
632,death,287
633,death,690
634,death,295
635,death,1522
636,death,1127
637,death,267
638,death,681
639,death,1409
640,death,699
641,death,290
642,death,899
643,death,691
644,death,1133
645,death,269
646,death,316
647,death,277
648,death,1124
649,death,284
650,death,263
651,death,694
652,death,808
653,death,313
654,death,281
655,death,1132
656,death,866
657,death,265
658,death,722
659,death,315
660,death,899
661,death,1132
662,death,706
663,death,703
664,death,296
665,death,680
666,death,686
667,death,1139
668,death,1125
669,death,1789
670,death,1395
671,death,1233
672,death,298
673,death,288
674,death,687
675,death,300
676,death,1235
677,death,1124
678,death,289
679,death,710
680,death,1437
681,death,283
682,death,313
683,death,288
684,death,287
685,death,296
686,death,684
687,death,300
688,death,295
689,death,1524
690,death,1137
691,death,680
692,death,691
693,death,672
694,death,1712
695,death,1136
696,death,290
697,death,299
698,death,308
699,death,1521
700,death,689
701,death,695
702,death,1436
703,death,1127
704,death,700
705,death,1126
706,death,308
707,death,692
708,death,298
709,death,812
710,death,271
711,death,700
712,death,686
713,death,315
714,death,271
715,death,698
716,death,303
717,death,312
718,death,703
719,death,691
720,death,299
721,death,294
722,death,296
723,death,283
724,death,707
725,death,701
726,death,290
727,death,707
728,death,1129
729,death,691
730,death,1131
731,death,724
732,death,310
733,death,834
734,death,695
735,death,295
736,death,793
737,death,297
738,death,706
739,death,1132
740,death,309
741,death,814
742,death,687
743,death,705
744,death,270
745,death,307
746,death,288
747,death,1149
748,death,1137
749,death,1124
750,death,823
751,death,302
752,death,705
753,death,312
754,death,839
755,death,275
756,death,670
757,death,722
758,death,688
759,death,898
760,death,297
761,death,1138
762,death,257
763,death,292
764,death,300
765,death,305
766,death,1408
767,death,1127
768,death,679
769,death,687
770,death,1642
771,death,298
772,death,1427
773,death,700
774,death,688
775,death,665
776,death,690
777,death,296
778,death,308
779,death,899
780,death,900
781,death,300
782,death,299
783,death,709
784,death,308
785,death,313
786,death,1125
787,death,845
788,death,1663
789,death,841
790,death,290
791,death,288
792,death,834
793,death,1411
794,death,283
795,death,280
796,death,1125
797,death,677
798,death,292
799,death,296
800,death,274
801,death,694
802,death,311
803,death,315
804,death,1658
805,death,304
806,death,690
807,death,1122
808,death,1135
809,death,299
810,death,675
811,death,311
812,death,1138
813,death,311
814,death,287
815,death,312
816,death,708
817,death,307
818,death,310
819,death,722
820,death,693
821,death,297
822,death,293
823,death,310
824,death,295
825,death,683
826,death,698
827,death,278
828,death,1415
829,death,273
830,death,1139
831,death,703
832,death,669
833,death,266
834,death,298
835,death,1125
836,death,1125
837,death,675
838,death,702
839,death,295
840,death,285
841,death,877
842,death,309
843,death,687
844,death,295
845,death,675
846,death,299
847,death,1126
848,death,694
849,death,302
850,death,1139
851,death,689
852,death,308
853,death,703
854,death,276
855,death,289
856,death,685
857,death,315
858,death,708
859,death,705
860,death,722
861,death,899
862,death,676
863,death,270
864,death,312
865,death,302
866,death,306
867,death,830
868,death,723
869,death,854
870,death,898
871,death,723
872,death,682
873,death,713
874,death,305
875,death,898
876,death,305
877,death,271
878,death,685
879,death,898
880,death,687
881,death,1123
882,death,312
883,death,302
884,death,295
885,death,1401
886,death,679
887,death,707
888,death,698
889,death,692
890,death,871
891,death,303
892,death,303
893,death,307
894,death,848
895,death,292
896,death,275
897,death,1124
898,death,1225
899,death,707
900,death,685
901,death,1129
902,death,689
903,death,290
904,death,297
905,death,845
906,death,303
907,death,315
908,death,723
909,death,296
910,death,724
911,death,723
912,death,1125
913,death,680
914,death,1137
915,death,709
916,death,240
917,death,290
918,death,1131
919,death,701
920,death,289
921,death,677
922,death,898
923,death,1423
924,death,701
925,death,708
926,death,858
927,death,684
928,death,311
929,death,310
930,death,1219
931,death,867
932,death,695
933,death,1122
934,death,303
935,death,311
936,death,309
937,death,690
938,death,1410
939,death,663
940,death,680
941,death,830
942,death,300
943,death,706
944,death,694
945,death,808
946,death,692
947,death,291
948,death,293
949,death,299
950,death,286
951,death,301
952,death,899
953,death,291
954,death,307
955,death,710
956,death,830
957,death,283
